taxonID	scientificName	parser_run	matchedType	matchSize	inputName	matchedName	inputCanonicalForm	matchedCanonicalForm	matchedEditDistance	inputRank	matchedRank	synonymStatus	acceptedName	matchedScore	matchTaxonID	classification
64ede54d-40b2-5f53-90e3-1ddb5c9d879d	Salmonella enterica subsp. Enterica serovar Typhimurium	2	Canonical form exact match	1	Salmonella enterica subsp. Enterica serovar Typhimurium	Salmonella enterica (ex Kauffmann and Edwards, 1952) Le Minor and Popoff, 1987	Salmonella enterica		0	species	6d8bc5295be4dabc47ae2f9d8ade5ef3	false	Salmonella enterica (ex Kauffmann and Edwards, 1952) Le Minor and Popoff, 1987		6d8bc5295be4dabc47ae2f9d8ade5ef3	Bacteria(33521420), Proteobacteria(33521421), Gammaproteobacteria(33530774), Enterobacteriales(33530800), Enterobacteriaceae(33530801), Salmonella(33733151), Salmonella enterica(6d8bc5295be4dabc47ae2f9d8ade5ef3)
8902b37b-79a4-5ad1-bdfb-1485a0eee4af	Salpa thompsoni	1	Canonical form exact match	1	Salpa thompsoni	Salpa thompsoni Foxton, 1961	Salpa thompsoni		0	species	697f12922039083d91081d4ade0e3366	false	Salpa thompsoni Foxton, 1961		697f12922039083d91081d4ade0e3366	Animalia(33521288), Chordata(33521289), Thaliacea(33521985), Salpida(33525456), Salpidae(33525457), Salpa(33595262), Salpa thompsoni(697f12922039083d91081d4ade0e3366)
e9faa056-3d89-504a-83cf-b512dc83592a	Salpa thompsoni C2	2	Canonical form exact match	1	Salpa thompsoni C2	Salpa thompsoni Foxton, 1961	Salpa thompsoni		0	species	697f12922039083d91081d4ade0e3366	false	Salpa thompsoni Foxton, 1961		697f12922039083d91081d4ade0e3366	Animalia(33521288), Chordata(33521289), Thaliacea(33521985), Salpida(33525456), Salpidae(33525457), Salpa(33595262), Salpa thompsoni(697f12922039083d91081d4ade0e3366)
8341ddab-93b4-5aa4-8470-73b99edff1f6	Salpichroa origanifolia	1	Canonical form exact match	3	Salpichroa origanifolia	Salpichroa origanifolia (Lam.) Baill.	Salpichroa origanifolia		0	species	e4eac94c58b62c62f9f2b4b3c0cbae2e	true	Salpichroa origanifolia (Lam.) Baillon		a67a5ac178950cad0fbe244981e22114	Plantae(33521293), Tracheophyta(33521294), Magnoliopsida(33521295), Solanales(33524958), Solanaceae(33524959), Salpichroa(33658064), Salpichroa origanifolia(e4eac94c58b62c62f9f2b4b3c0cbae2e)
8341ddab-93b4-5aa4-8470-73b99edff1f6	Salpichroa origanifolia	1	Canonical form exact match	3	Salpichroa origanifolia	Salpichroa origanifolia (Lam.) Thellung	Salpichroa origanifolia		0	species	e4eac94c58b62c62f9f2b4b3c0cbae2e	true	Salpichroa origanifolia (Lam.) Baillon		dcd1669d733776d65d8598d62a42daa2	Plantae(33521293), Tracheophyta(33521294), Magnoliopsida(33521295), Solanales(33524958), Solanaceae(33524959), Salpichroa(33658064), Salpichroa origanifolia(e4eac94c58b62c62f9f2b4b3c0cbae2e)
8341ddab-93b4-5aa4-8470-73b99edff1f6	Salpichroa origanifolia	1	Canonical form exact match	3	Salpichroa origanifolia	Salpichroa origanifolia (Lam.) Baillon	Salpichroa origanifolia		0	species	e4eac94c58b62c62f9f2b4b3c0cbae2e	false	Salpichroa origanifolia (Lam.) Baillon		e4eac94c58b62c62f9f2b4b3c0cbae2e	Plantae(33521293), Tracheophyta(33521294), Magnoliopsida(33521295), Solanales(33524958), Solanaceae(33524959), Salpichroa(33658064), Salpichroa origanifolia(e4eac94c58b62c62f9f2b4b3c0cbae2e)
b29ac5f6-380c-514e-b9ce-2560f1e1d23b	Salvia miltiorrhiza	1	Canonical form exact match	1	Salvia miltiorrhiza	Salvia miltiorrhiza Bunge	Salvia miltiorrhiza		0	species	9d7b6545bf65196bed62eae92c765c67	false	Salvia miltiorrhiza Bunge		9d7b6545bf65196bed62eae92c765c67	Plantae(33521293), Tracheophyta(33521294), Magnoliopsida(33521295), Lamiales(33523498), Lamiaceae(33530270), Salvia(33535880), Salvia miltiorrhiza(9d7b6545bf65196bed62eae92c765c67)
9b3e080f-c27d-5f7e-af12-38f6defc6a5f	Santalum	1	Exact string match	1	Santalum	Santalum	Santalum		0		33671575	false	Santalum	0.622	33671575	Plantae(33521293), Tracheophyta(33521294), Magnoliopsida(33521295), Santalales(33529970), Santalaceae(33529973), Santalum(33671575)
8e64b669-0ecf-57a3-9935-f3deaf8a5988	Sarcodon imbricatus	1	Canonical form exact match	2	Sarcodon imbricatus	Sarcodon imbricatus (L.) P. Karst., 1881	Sarcodon imbricatus		0	species	734c279226c8c6d46502686216afd063	false	Sarcodon imbricatus (L.) P. Karst., 1881		734c279226c8c6d46502686216afd063	Fungi(33521351), Basidiomycota(33521352), Agaricomycetes(33523375), Thelephorales(33523378), Bankeraceae(33523381), Sarcodon(33675740), Sarcodon imbricatus(734c279226c8c6d46502686216afd063)
8e64b669-0ecf-57a3-9935-f3deaf8a5988	Sarcodon imbricatus	1	Canonical form exact match	2	Sarcodon imbricatus	Sarcodon imbricatus sensu auct. brit.; fide Checklist of Basidiomycota of Great Britain and Ireland (2005)	Sarcodon imbricatus		0	species	f48ae2e4619c1bf23e7410b8d4194ab7	true	Sarcodon squamosus (Schaeff.) Quél., 1886		fe7cc32e31b88253d78fa2023df1c1e0	Fungi(33521351), Basidiomycota(33521352), Agaricomycetes(33523375), Thelephorales(33523378), Bankeraceae(33523381), Sarcodon(33675740), Sarcodon squamosus(f48ae2e4619c1bf23e7410b8d4194ab7)
