taxonID	scientificName	parser_run	matchedType	matchSize	inputName	matchedName	inputCanonicalForm	matchedCanonicalForm	matchedEditDistance	inputRank	matchedRank	synonymStatus	acceptedName	matchedScore	matchTaxonID	classification
37064e86-cd99-5b14-a473-3f38ab909f49	Discolithina ovata	1	No match	0	Discolithina ovata					species						
a1bac782-b252-5816-8418-fa8252c01f06	Discolithina pachymorpha	1	No match	0	Discolithina pachymorpha					species						
7b9b581f-8aac-5320-a6d5-bf25fd8ea5b9	Discolithina pacifica	1	No match	0	Discolithina pacifica					species						
f0a1af16-cebf-5d84-a347-f152e3ce23ee	Discolithina panerium	1	No match	0	Discolithina panerium					species						
c2c298b3-28c3-5680-928c-72bd456debb9	Discolithina pectinatus	1	No match	0	Discolithina pectinatus					species						
93d5ab78-dae1-5b6e-849e-f06a7a626aba	Discolithina phaseola	1	No match	0	Discolithina phaseola					species						
cfa956ff-0241-515b-8c82-57d9cd9e343a	Discolithina plana	1	No match	0	Discolithina plana					species						
250f3268-02d1-59a0-8128-c09c247ac441	Discolithina pulcheroides	1	No match	0	Discolithina pulcheroides					species						
e634ec7c-a944-5fca-903f-11f91cbcd9c9	Discolithina pulchra	1	No match	0	Discolithina pulchra					species						
0699f90c-fe0d-5f39-bdef-e7c117e2d065	Discolithina punctosa	1	No match	0	Discolithina punctosa					species						
527a5cdc-db55-5fac-905f-356d300bdf5a	Discolithina pygmaea	1	No match	0	Discolithina pygmaea					species						
dff14b56-d9ab-5388-b25f-177b3fb0b641	Discolithina rectipons	1	No match	0	Discolithina rectipons					species						
680420ee-94d7-519c-ac47-403c8ba2ddee	Discolithina rimosa	1	No match	0	Discolithina rimosa					species						
a8f3c63f-fc55-5515-881c-68c6eb5e6a56	Discolithina rugosa	1	No match	0	Discolithina rugosa					species						
acd9e9eb-7ce9-593e-bd2a-463cde592a8e	Discolithina saundersi	1	No match	0	Discolithina saundersi					species						
742634a1-39db-5c26-9e7e-af86b5606f4e	Discolithina scutellum	1	No match	0	Discolithina scutellum					species						
929435b7-25b7-5846-b250-c1eea0817cef	Discolithina segmenta	1	No match	0	Discolithina segmenta					species						
099e3b9b-9fd9-5af9-86a0-08a29b771715	Discolithina solida	1	No match	0	Discolithina solida					species						
6c613d1d-748e-58c3-a1f2-0ca883f6d94c	Discolithina syracusana	1	No match	0	Discolithina syracusana					species						
2e7511ec-b5f8-5f7c-9077-1dc08ec85a95	Discolithina versa	1	No match	0	Discolithina versa					species						
9cf7039a-2d4e-5267-8e48-c4c283659617	Discolithina viginitiforata	1	No match	0	Discolithina viginitiforata					species						
325ad08f-1427-5a52-aee7-62b64913d45b	Discolithus	1	No match	0	Discolithus											
040c5c48-2203-5df0-b261-694a328c4fff	Discolithus antillarum	1	No match	0	Discolithus antillarum					species						
be9f3036-b1b7-59be-8b11-a741c0f45398	Discolithus asper	1	No match	0	Discolithus asper					species						
179fdc4d-b62c-5d1a-af29-6e05683f16df	Discolithus decoratus	1	No match	0	Discolithus decoratus					species						
ab18984f-e42b-5f3a-b8ca-35d967637329	Discolithus fimbriatus	1	No match	0	Discolithus fimbriatus					species						
b424553f-4bf6-5087-aef3-1762686de5d9	Discolithus multiporus	1	No match	0	Discolithus multiporus					species						
6a6360af-6dba-5ec6-aab9-d75a512f4010	Discolithus ornamentus	1	No match	0	Discolithus ornamentus					species						
36c29551-ffae-5a2c-8eba-ffaf756a02b9	Discolithus phaseolus	1	No match	0	Discolithus phaseolus					species						
8dc0e40a-ce66-58bb-9535-1544ecc8455b	Discolithus rugosus	1	No match	0	Discolithus rugosus					species						
6ae77c99-dbe0-5866-a2ab-4dbc6fd3de8b	Discolithus segmentatus	1	No match	0	Discolithus segmentatus					species						
140d7ff0-8a6a-596a-b990-90d56ce97268	Discorhabdoides	1	No match	0	Discorhabdoides											
6d8de75f-0b95-5c11-be74-f93d5197401a	Discorhabdoides filiformis	1	No match	0	Discorhabdoides filiformis					species						
b85600f7-5111-5c59-9ec9-b79530887da4	Discorhabdus	1	No match	0	Discorhabdus											
60ab9c44-422d-5679-8626-d227acd0f641	Discorhabdus biperforatus	1	No match	0	Discorhabdus biperforatus					species						
340fd60e-e13e-5dbb-bd94-f34fb3bcf629	Discorhabdus biradiatus	1	No match	0	Discorhabdus biradiatus					species						
d568e631-8a5a-506e-8b66-666e794b8d05	Discorhabdus corollatus	1	No match	0	Discorhabdus corollatus					species						
2bcb6150-44fb-5c9e-a8f6-34e652106941	Discorhabdus criotus	1	No match	0	Discorhabdus criotus					species						
3919df98-49c8-5608-ab87-baf989b6faba	Discorhabdus exilitus	1	No match	0	Discorhabdus exilitus					species						
2ad92de2-62a7-51f5-9ef1-f55f6c0e7670	Discorhabdus ignotus	1	No match	0	Discorhabdus ignotus					species						
a3e19c24-fdb8-55f4-9af1-f7f4d7f9a9f8	Discorhabdus jungii	1	No match	0	Discorhabdus jungii					species						
5cb859b1-8c9b-5723-969b-63ef63ad176b	Discorhabdus longicornis	1	No match	0	Discorhabdus longicornis					species						
d55404fc-7ecb-5eb6-b885-05542087eca4	Discorhabdus novus	1	No match	0	Discorhabdus novus					species						
c64988d7-d640-5bad-9a1a-cec7d66ddbb9	Discorhabdus patulus	1	No match	0	Discorhabdus patulus					species						
aed975e1-02c3-54d0-a12f-b49bda192ed8	Discorhabdus rotatorius	1	No match	0	Discorhabdus rotatorius					species						
d78ddfba-5f72-56b1-b65f-5197d3b0ee31	Discorhabdus striatus	1	No match	0	Discorhabdus striatus					species						
b8b23285-3d8b-5aa5-aa4b-3c7fc527946f	Discorhabdus superbus	1	No match	0	Discorhabdus superbus					species						
89fda0e1-cbb8-5a64-8685-4cc5e6f3bbae	Discorhabdus tubus	1	No match	0	Discorhabdus tubus					species						
18ac85ee-b180-5342-8fec-100a848789d9	Discosphaera	1	No match	0	Discosphaera											
082ad305-a743-55ff-b366-a371710307c0	Discosphaera distincta	1	No match	0	Discosphaera distincta					species						
1f789dde-acda-5f3a-b7ff-e69819d624ec	Discosphaera multipora	1	No match	0	Discosphaera multipora					species						
5dc577c7-aa7c-5898-8ff1-ae79a0c1253f	Discosphaera pacifica	1	No match	0	Discosphaera pacifica					species						
3cd9ed07-fce1-58df-b2a8-22892dae74cd	Discosphaera tubifer	1	No match	0	Discosphaera tubifer					species						
a6b6c04e-f912-5415-9e22-3548cf6dcacc	Discosphaera tubifera	1	No match	0	Discosphaera tubifera					species						
ceee973d-f0ec-5885-96d7-0d0414b83ce2	Discosura conversii	1	Canonical form exact match	1	Discosura conversii	Discosura conversii (Bourcier & Mulsant, 1846)	Discosura conversii	Discosura conversii	0	species	species		Discosura conversii (Bourcier & Mulsant, 1846)	0.988	ae732c85d154530d11a6fd4db196e657	Animalia(kingdom), Chordata(phylum), Aves(class), Apodiformes(order), Trochilidae(family), Discosura(genus), Discosura conversii(species)
bf1ff8df-e20b-5756-aa75-e13be3cf61fb	Discosura popelairii	1	Canonical form exact match	1	Discosura popelairii	Discosura popelairii (Du Bus de Gisignies, 1846)	Discosura popelairii	Discosura popelairii	0	species	species		Discosura popelairii (Du Bus de Gisignies, 1846)	0.988	ffd67963cf252126e872ce2430f5f973	Animalia(kingdom), Chordata(phylum), Aves(class), Apodiformes(order), Trochilidae(family), Discosura(genus), Discosura popelairii(species)
dc2b739d-98a7-5eb1-9a45-5a2bedc464fc	Discoturbella moorei	1	No match	0	Discoturbella moorei					species						
56e4f8c9-354a-5d74-86c4-4824d58d4fc9	Discus perspectivus	1	Genus part match	1	Discus perspectivus	Discus	Discus perspectivus	Discus	0	species	genus		Discus	0.75	33693437	Animalia(kingdom), Mollusca(phylum), Gastropoda(class), Stylommatophora(order), Punctoidea(superfamily), Discidae(family), Discus(genus)
5f3ee759-eb0b-53fa-8583-1086ee191249	Discus ruderatus	1	Genus part match	1	Discus ruderatus	Discus	Discus ruderatus	Discus	0	species	genus		Discus	0.75	33693437	Animalia(kingdom), Mollusca(phylum), Gastropoda(class), Stylommatophora(order), Punctoidea(superfamily), Discidae(family), Discus(genus)
c6ed21e8-1628-5500-b9cf-623d0e067b65	Dismorphiinae	1	No match	0	Dismorphiinae											
87005dda-ba72-5112-bcbc-57551a9fcd59	Distaplia dubia AB211068.1	2	Canonical form exact match	1	Distaplia dubia AB211068.1	Distaplia dubia (Oka, 1927)	Distaplia dubia	Distaplia dubia	0	species	species		Distaplia dubia (Oka, 1927)	0.988	4ffc0ed5f37e0cebf40e898bed0bc2bf	Animalia(kingdom), Chordata(phylum), Ascidiacea(class), Enterogona(order), Holozoidae(family), Distaplia(genus), Distaplia dubia(species)
09f33b54-a67f-5456-9738-b2f91812e5be	DistapliaX	1	Canonical form exact match	1	DistapliaX	Distaplia		Distaplia	0		genus		Distaplia	0.75	33595384	Animalia(kingdom), Chordata(phylum), Ascidiacea(class), Enterogona(order), Holozoidae(family), Distaplia(genus)
9a284299-734b-591c-98f4-ca2a45ca5865	Distorsio anus	1	Canonical form exact match	1	Distorsio anus	Distorsio anus (Linnaeus, 1758)	Distorsio anus	Distorsio anus	0	species	species		Distorsio anus (Linnaeus, 1758)	0.988	b3b125a5dadfa2aa5e63931c29061b7c	Animalia(kingdom), Mollusca(phylum), Gastropoda(class), Littorinimorpha(order), Tonnoidea(superfamily), Personidae(family), Distorsio(genus), Distorsio anus(species)
d87e9997-fe36-5dc9-97ff-32c6d40b36a6	Distortio	1	Canonical form fuzzy match	2	Distortio	Distorsio	Distortio	Distorsio	1		genus		Distorsio	0.5	33666664	Animalia(kingdom), Mollusca(phylum), Gastropoda(class), Littorinimorpha(order), Tonnoidea(superfamily), Personidae(family), Distorsio(genus)
d87e9997-fe36-5dc9-97ff-32c6d40b36a6	Distortio	1	Canonical form fuzzy match	2	Distortio	Distortia	Distortio	Distortia	1		genus		Distortia	0.5	33628292	Animalia(kingdom), Arthropoda(phylum), Insecta(class), Lepidoptera(order), Pyraloidea(superfamily), Pyralidae(family), Distortia(genus)
0ff3d499-e3dc-5415-9efc-5e03d9688d1d	Ditresia	1	No match	0	Ditresia											
4dfb3acd-14d5-50c2-b9e5-6373c765e591	Dmoj	1	No match	0	Dmoj											
f033008e-693b-59fd-ac0b-52eede40ba61	Dob Lyma	1	No match	0	Dob Lyma											
601ac94d-2a2a-5142-aa35-7e7e09163838	Dodekapoderhabdus	1	No match	0	Dodekapoderhabdus											
b73985db-2663-5097-bd76-b0586ff66d74	Dodekapoderhabdus noelae	1	No match	0	Dodekapoderhabdus noelae					species						
d0e666ff-6bce-5fb4-9191-72ba5e506194	Dodekapodorhabdus	1	No match	0	Dodekapodorhabdus											
ac273f2d-0103-589b-b488-953c1418e30c	Dodekapodorhabdus noeliae	1	No match	0	Dodekapodorhabdus noeliae					species						
35d8fde4-4a42-5a04-a31e-891a45310b9e	Dolicholatirus	1	Exact string match	1	Dolicholatirus	Dolicholatirus	Dolicholatirus	Dolicholatirus	0		genus		Dolicholatirus	0.75	33694456	Animalia(kingdom), Mollusca(phylum), Gastropoda(class), Neogastropoda(order), Buccinoidea(superfamily), Fasciolariidae(family), Dolicholatirus(genus)
4e559edb-26bd-5463-a433-b3df2aebd307	Doliolum denticulata R3	2	Canonical form fuzzy match	1	Doliolum denticulata R3	Doliolum denticulatum Quoy & Gaimard, 1834	Doliolum denticulata	Doliolum denticulatum	2	species	species		Doliolum denticulatum Quoy & Gaimard, 1834	0.75	869450fe1eabd28e9af612fe2fa59661	Animalia(kingdom), Chordata(phylum), Thaliacea(class), Doliolida(order), Doliolidae(family), Doliolum(genus), Doliolum denticulatum(species)
a2edff47-d08a-5a6b-8d29-5103e2db41cb	Doliolum denticulata S1S4	2	Canonical form fuzzy match	1	Doliolum denticulata S1S4	Doliolum denticulatum Quoy & Gaimard, 1834	Doliolum denticulata	Doliolum denticulatum	2	species	species		Doliolum denticulatum Quoy & Gaimard, 1834	0.75	869450fe1eabd28e9af612fe2fa59661	Animalia(kingdom), Chordata(phylum), Thaliacea(class), Doliolida(order), Doliolidae(family), Doliolum(genus), Doliolum denticulatum(species)
040eb73d-87b6-565c-85b2-6d3ac40437df	Doliolum nationalis	1	Canonical form exact match	1	Doliolum nationalis	Doliolum nationalis Borgert, 1894	Doliolum nationalis	Doliolum nationalis	0	species	species		Doliolum nationalis Borgert, 1894	0.988	e41bd7a19a8459d49cc1cbbecff9aabf	Animalia(kingdom), Chordata(phylum), Thaliacea(class), Doliolida(order), Doliolidae(family), Doliolum(genus), Doliolum nationalis(species)
b0322484-7c4f-5c90-b0d8-443b80e0c7a9	Doliolum nationalis A	1	Canonical form exact match	1	Doliolum nationalis A	Doliolum nationalis Borgert, 1894	Doliolum nationalis	Doliolum nationalis	0	species	species		Doliolum nationalis Borgert, 1894	0.75	e41bd7a19a8459d49cc1cbbecff9aabf	Animalia(kingdom), Chordata(phylum), Thaliacea(class), Doliolida(order), Doliolidae(family), Doliolum(genus), Doliolum nationalis(species)
